Domain,IP
be62.nordvpn.com,185.210.217.118
be63.nordvpn.com,185.210.217.120
be64.nordvpn.com,185.210.217.121
be65.nordvpn.com,185.210.217.122
be66.nordvpn.com,185.210.217.123
be75.nordvpn.com,194.187.251.51
be76.nordvpn.com,194.187.251.56
be77.nordvpn.com,194.187.251.61
be78.nordvpn.com,185.210.217.165
be79.nordvpn.com,185.210.217.170
be80.nordvpn.com,37.120.143.3
be81.nordvpn.com,37.120.143.11
be82.nordvpn.com,37.120.143.19
be83.nordvpn.com,37.120.143.27
be84.nordvpn.com,37.120.143.35
be85.nordvpn.com,37.120.143.211
be86.nordvpn.com,37.120.143.213
be87.nordvpn.com,37.120.143.219
be88.nordvpn.com,37.120.143.221
be89.nordvpn.com,37.120.143.227
be90.nordvpn.com,37.120.143.229
be91.nordvpn.com,77.243.191.243
be92.nordvpn.com,77.243.191.245
be93.nordvpn.com,77.243.191.249
be94.nordvpn.com,77.243.191.251
be95.nordvpn.com,185.210.217.131
be96.nordvpn.com,185.210.217.133
be97.nordvpn.com,185.210.217.139
be98.nordvpn.com,185.210.217.141
be99.nordvpn.com,82.102.19.99
bg14.nordvpn.com,185.94.192.179
bg15.nordvpn.com,185.94.192.181
bg16.nordvpn.com,193.9.115.98
bg17.nordvpn.com,193.9.115.100
bg18.nordvpn.com,185.216.32.139
bg19.nordvpn.com,185.216.32.179
bg20.nordvpn.com,185.216.32.181
bg21.nordvpn.com,82.102.23.83
bg22.nordvpn.com,82.102.23.85
bg23.nordvpn.com,82.102.23.11
bg24.nordvpn.com,82.102.23.13
bg25.nordvpn.com,185.216.32.155
bg26.nordvpn.com,185.216.32.157
bg27.nordvpn.com,185.216.32.251
bg28.nordvpn.com,185.216.32.253
bg29.nordvpn.com,217.138.202.75
bg30.nordvpn.com,217.138.202.83
bg31.nordvpn.com,217.138.202.91
bg32.nordvpn.com,217.138.202.99
bg33.nordvpn.com,217.138.202.107
bg34.nordvpn.com,217.138.202.115
bg35.nordvpn.com,217.138.202.123
bg36.nordvpn.com,217.138.202.131
bg37.nordvpn.com,217.138.202.139
bg38.nordvpn.com,217.138.202.147
br13.nordvpn.com,181.214.48.16
br14.nordvpn.com,181.214.48.18
br15.nordvpn.com,181.214.48.20
br16.nordvpn.com,181.214.48.22
br17.nordvpn.com,181.214.46.16
br18.nordvpn.com,181.214.46.18
br19.nordvpn.com,181.214.46.20
br20.nordvpn.com,181.214.46.22
br21.nordvpn.com,181.214.40.16
br22.nordvpn.com,181.214.40.18
br23.nordvpn.com,181.214.40.20
br24.nordvpn.com,181.214.40.22
br25.nordvpn.com,181.214.38.16
br26.nordvpn.com,181.214.38.18
br27.nordvpn.com,181.214.38.20
br28.nordvpn.com,181.214.38.22
br29.nordvpn.com,185.153.176.6
br30.nordvpn.com,185.153.176.2
br31.nordvpn.com,185.153.176.4
br32.nordvpn.com,185.153.176.7
br33.nordvpn.com,185.153.176.8
br34.nordvpn.com,185.153.176.9
br35.nordvpn.com,196.240.255.3
br36.nordvpn.com,196.240.255.5
br37.nordvpn.com,196.240.255.11
br38.nordvpn.com,196.240.255.13
br39.nordvpn.com,209.14.0.251
br40.nordvpn.com,209.14.0.243
br41.nordvpn.com,209.14.0.43
br42.nordvpn.com,172.107.208.179
br43.nordvpn.com,209.14.0.163
ca-us13.nordvpn.com,37.120.130.5
ca-us14.nordvpn.com,37.120.130.6
ca-us15.nordvpn.com,217.138.213.27
ca-us16.nordvpn.com,217.138.213.28
ca-us17.nordvpn.com,139.28.218.43
ca-us18.nordvpn.com,139.28.218.44
ca-us19.nordvpn.com,139.28.218.75
ca-us20.nordvpn.com,139.28.218.76
ca-us21.nordvpn.com,217.138.213.123
ca-us22.nordvpn.com,217.138.213.124
ca-us23.nordvpn.com,217.138.213.147
ca-us24.nordvpn.com,217.138.213.148
