Endpoint,IP
"rs-06.protonvpn.com","37.46.115.11"
"rs-07.protonvpn.com","37.46.115.12"
"rs-08.protonvpn.com","37.46.115.13"
"ru-01.protonvpn.com","5.8.16.235"
"ru-02.protonvpn.com","5.8.16.236"
"ru-03.protonvpn.com","5.8.16.237"
"ru-04.protonvpn.com","5.8.16.238"
"ru-05.protonvpn.com","5.8.16.163"
"ru-06.protonvpn.com","5.8.16.164"
"ru-07.protonvpn.com","5.8.16.165"
"ru-08.protonvpn.com","5.8.16.166"
"ru-09.protonvpn.com","5.8.16.167"
"ru-10.protonvpn.com","5.8.16.168"
"ru-11.protonvpn.com","5.8.16.169"
"ru-12.protonvpn.com","5.8.16.170"
"se-01.protonvpn.com","185.159.156.3"
"se-02.protonvpn.com","185.159.156.4"
"se-03.protonvpn.com","185.159.156.5"
"se-04.protonvpn.com","185.159.156.6"
"se-05.protonvpn.com","185.159.156.17"
"se-06.protonvpn.com","185.159.156.18"
"se-07.protonvpn.com","185.159.156.19"
"se-08.protonvpn.com","185.159.156.20"
"se-09.protonvpn.com","79.142.76.71"
"se-10.protonvpn.com","79.142.76.72"
"se-11.protonvpn.com","79.142.76.73"
"se-12.protonvpn.com","79.142.76.74"
"se-13.protonvpn.com","185.246.128.82"
"se-14.protonvpn.com","185.246.128.83"
"se-15.protonvpn.com","185.246.128.84"
"se-16.protonvpn.com","185.246.128.85"
"sg-21.protonvpn.com","209.58.163.227"
"sg-22.protonvpn.com","209.58.163.228"
"sg-23.protonvpn.com","209.58.163.229"
"sg-24.protonvpn.com","209.58.163.230"
"sg-25.protonvpn.com","209.58.163.231"
"sg-26.protonvpn.com","209.58.163.232"
"sg-27.protonvpn.com","209.58.163.233"
"sg-28.protonvpn.com","209.58.163.234"
"sg-29.protonvpn.com","103.107.198.195"
"sg-30.protonvpn.com","103.107.198.196"
"sg-31.protonvpn.com","103.107.198.197"
"sg-32.protonvpn.com","103.107.198.198"
"sg-33.protonvpn.com","103.107.198.199"
"sg-34.protonvpn.com","103.107.198.200"
"sg-35.protonvpn.com","103.107.198.201"
"sg-36.protonvpn.com","103.107.198.202"
"sg-37.protonvpn.com","103.107.199.163"
"sg-38.protonvpn.com","103.107.199.164"
"sg-39.protonvpn.com","103.107.199.165"
"sg-40.protonvpn.com","103.107.199.166"
"sg-42.protonvpn.com","103.107.199.168"
"sg-43.protonvpn.com","103.107.199.169"
"sg-44.protonvpn.com","103.107.199.170"
"sk-01.protonvpn.com","196.245.151.211"
"sk-02.protonvpn.com","196.245.151.212"
"sk-03.protonvpn.com","196.245.151.213"
"sk-04.protonvpn.com","196.245.151.214"
"sk-05.protonvpn.com","196.245.151.215"
"sk-06.protonvpn.com","196.245.151.216"
"sk-07.protonvpn.com","196.245.151.217"
"sk-08.protonvpn.com","196.245.151.218"
